correction(contende) => contended (9); expected contented (13)
correction(contended) => contended (9); expected contented (13)
correction(proplen) => people (891); expected problem (71)
correction(guic) => guns (111); expected juice (5)
correction(juce) => june (44); expected juice (5)
correction(jucie) => julie (71); expected juice (5)
correction(juise) => guise (8); expected juice (5)
correction(juse) => just (767); expected juice (5)
correction(localy) => local (181); expected locally (10)
correction(compair) => company (190); expected compare (29)
correction(transportibility) => transportibility (0); expected transportability (0)
correction(miniscule) => miniscule (0); expected minuscule (0)
correction(poartry) => party (298); expected poetry (10)
correction(stanerdizing) => stanerdizing (0); expected standardizing (0)
correction(futher) => father (533); expected further (138)
correction(biscutes) => disputes (27); expected biscuits (8)
correction(receit) => recent (53); expected receipt (13)
correction(receite) => receive (95); expected receipt (13)
correction(reciet) => recite (4); expected receipt (13)
correction(remined) => remained (231); expected remind (9)
correction(annt) => anna (294); expected aunt (52)
correction(ther) => the (79809); expected there (2972)
correction(totaly) => total (35); expected totally (9)
correction(vistid) => viscid (3); expected visited (28)
correction(ment) => men (1145); expected meant (113)
correction(sorces) => forces (176); expected sources (30)
correction(desicate) => delicate (54); expected desiccate (0)
correction(dessicate) => delicate (54); expected desiccate (0)
correction(dessiccate) => dessiccate (0); expected desiccate (0)
correction(splened) => opened (216); expected splendid (77)
correction(acount) => count (748); expected account (177)
correction(semetary) => secretary (52); expected cemetery (2)
correction(lates) => later (334); expected latest (17)
correction(rember) => member (50); expected remember (161)
correction(cak) => can (1095); expected cake (6)
correction(chosing) => closing (35); expected choosing (20)
correction(rote) => rose (243); expected wrote (149)
correction(awfall) => wall (189); expected awful (29)
correction(lauf) => last (565); expected laugh (70)
correction(laught) => caught (90); expected laugh (70)
correction(diagrammaticaally) => diagrammaticaally (0); expected diagrammatically (0)
correction(pomes) => comes (91); expected poems (3)
correction(perple) => people (891); expected purple (29)
correction(perpul) => peril (7); expected purple (29)
correction(hierachial) => hierachial (0); expected hierarchal (0)
correction(wonted) => wonted (1); expected wanted (213)
correction(planed) => planed (1); expected planned (15)
correction(muinets) => muskets (22); expected minutes (146)
correction(aranging) => arranging (19); expected arrangeing (0)
correction(accesing) => acceding (1); expected accessing (0)
correction(stomec) => some (1536); expected stomach (42)
correction(embaras) => embargo (7); expected embarrass (0)
correction(embarass) => embarass (0); expected embarrass (0)
correction(auxillary) => axillary (31); expected auxiliary (0)
correction(failes) => failed (63); expected fails (20)
correction(poame) => some (1536); expected poem (6)
correction(liew) => view (179); expected lieu (7)
correction(lones) => bones (257); expected loans (13)
correction(addresable) => addresable (0); expected addressable (0)
correction(centraly) => central (72); expected centrally (0)
correction(choise) => choose (54); expected choice (46)
correction(cartains) => captains (12); expected curtains (5)
correction(certans) => certains (1); expected curtains (5)
correction(courtens) => countess (497); expected curtains (5)
correction(curtions) => portions (56); expected curtains (5)
correction(adress) => dress (138); expected address (76)
correction(adres) => acres (36); expected address (76)
correction(superceed) => superseded (9); expected supersede (1)
75% of 270 correct (6% unknown) at 66 words per second 
correction(emploies) => employed (156); expected employees (37)
correction(mathematicaly) => mathematical (4); expected mathematically (2)
correction(hierachial) => hierachial (0); expected hierarchal (0)
correction(alow) => low (131); expected allow (91)
correction(traditionaly) => traditional (4); expected traditionally (1)
correction(adabtable) => adabtable (0); expected adaptable (0)
correction(latter) => latter (129); expected later (334)
correction(graphicaly) => graphicaly (0); expected graphically (0)
correction(academicly) => academic (4); expected academically (0)
correction(thermawere) => thermawere (0); expected thermawear (0)
correction(thermawhere) => thermawhere (0); expected thermawear (0)
correction(plesent) => present (328); expected pleasant (96)
correction(wagted) => wanted (213); expected weighted (2)
correction(orentated) => orentated (0); expected orientated (0)
correction(inut) => nut (10); expected input (1)
correction(pivting) => pitting (4); expected pivoting (0)
correction(manualy) => manual (17); expected manually (0)
correction(contuned) => contused (15); expected continued (291)
correction(unresloved) => unresloved (0); expected unresolved (0)
correction(compased) => composed (91); expected compared (49)
